'threshold','recall','precision'
0.05,1.0,0.442878338279
0.1,1.0,0.469339622642
0.15,0.998324958124,0.50637213254
0.2,0.996649916248,0.546875
0.25,0.988274706868,0.588822355289
0.3,0.981574539363,0.637649619151
0.35,0.969849246231,0.681176470588
0.4,0.958123953099,0.723135271808
0.45,0.948073701843,0.749668874172
0.5,0.926298157454,0.781073446328
0.55,0.902847571189,0.820395738204
0.6,0.881072026801,0.84430176565
0.65,0.84757118928,0.866438356164
0.7,0.822445561139,0.89598540146
0.75,0.760469011725,0.917171717172
0.8,0.686767169179,0.951276102088
0.85,0.589614740369,0.967032967033
0.9,0.4405360134,0.977695167286
0.95,0.283082077052,0.988304093567
