res_1_features_recall,res_1_features_precision,res_5_features_recall,res_5_features_precision,res_10_features_recall,res_10_features_precision,res_15_features_recall,res_15_features_precision,res_20_features_recall,res_20_features_precision,res_30_features_recall,res_30_features_precision,res_50_features_recall,res_50_features_precision,
1.0,0.438970588235,1.0,0.456073338426,1.0,0.483400809717,0.998324958124,0.498744769874,0.998324958124,0.516464471404,0.993299832496,0.538112522686,0.98324958124,0.556398104265,
1.0,0.440590405904,1.0,0.488943488943,0.996649916248,0.54189435337,0.993299832496,0.557330827068,0.989949748744,0.574902723735,0.981574539363,0.599795291709,0.974874371859,0.61717921527,
1.0,0.44452717796,0.998324958124,0.541326067212,0.994974874372,0.597585513078,0.984924623116,0.620253164557,0.974874371859,0.6346782988,0.968174204355,0.653107344633,0.961474036851,0.659012629162,
1.0,0.455377574371,0.993299832496,0.597180261833,0.986599664992,0.651548672566,0.981574539363,0.674338319908,0.969849246231,0.686018957346,0.959798994975,0.692865779927,0.943048576214,0.689950980392,
1.0,0.476837060703,0.989949748744,0.653761061947,0.98324958124,0.710653753027,0.976549413735,0.715337423313,0.959798994975,0.715355805243,0.953098827471,0.723918575064,0.934673366834,0.727509778357,
1.0,0.514655172414,0.986599664992,0.703703703704,0.976549413735,0.742675159236,0.958123953099,0.748691099476,0.946398659966,0.753333333333,0.939698492462,0.748,0.926298157454,0.74628879892,
1.0,0.565340909091,0.974874371859,0.749034749035,0.966499162479,0.777628032345,0.94472361809,0.774725274725,0.93634840871,0.779637377964,0.924623115578,0.779661016949,0.914572864322,0.767932489451,
1.0,0.617373319545,0.969849246231,0.794238683128,0.946398659966,0.817655571635,0.931323283082,0.810495626822,0.91959798995,0.812130177515,0.907872696817,0.806547619048,0.902847571189,0.796159527326,
0.994974874372,0.695550351288,0.961474036851,0.83795620438,0.929648241206,0.851226993865,0.917922948074,0.84437596302,0.899497487437,0.83775351014,0.891122278057,0.83255086072,0.882747068677,0.831230283912,
0.988274706868,0.777338603426,0.946398659966,0.867895545315,0.907872696817,0.888524590164,0.897822445561,0.874388254486,0.881072026801,0.869421487603,0.882747068677,0.868204283361,0.87269681742,0.852700490998,
0.981574539363,0.839541547278,0.922948073702,0.89593495935,0.886097152429,0.908934707904,0.874371859296,0.893835616438,0.86432160804,0.879045996593,0.859296482412,0.884482758621,0.852596314908,0.873070325901,
0.966499162479,0.893188854489,0.884422110553,0.92469352014,0.86432160804,0.924731182796,0.845896147404,0.906642728905,0.830820770519,0.903460837887,0.827470686767,0.896551724138,0.819095477387,0.889090909091,
0.926298157454,0.927852348993,0.845896147404,0.943925233645,0.834170854271,0.939622641509,0.815745393635,0.931166347992,0.798994974874,0.917307692308,0.797319932998,0.911877394636,0.780569514238,0.903100775194,
0.892797319933,0.96036036036,0.805695142379,0.958167330677,0.788944723618,0.953441295547,0.77554438861,0.946830265849,0.762144053601,0.93621399177,0.742043551089,0.9248434238,0.745393634841,0.908163265306,
0.810720268007,0.968,0.752093802345,0.961456102784,0.718592964824,0.961883408072,0.706867671692,0.95045045045,0.708542713568,0.948430493274,0.698492462312,0.943438914027,0.696817420436,0.926503340757,
0.71189279732,0.977011494253,0.670016750419,0.966183574879,0.638190954774,0.967005076142,0.618090452261,0.9609375,0.633165829146,0.959390862944,0.641541038526,0.94801980198,0.63986599665,0.950248756219,
0.549413735343,0.993939393939,0.56783919598,0.976945244957,0.554438860972,0.96783625731,0.534338358459,0.963746223565,0.557788944724,0.97084548105,0.557788944724,0.954154727794,0.549413735343,0.970414201183,
0.356783919598,1.0,0.472361809045,0.986013986014,0.445561139028,0.977941176471,0.458961474037,0.985611510791,0.450586264657,0.971119133574,0.469011725293,0.975609756098,0.467336683417,0.975524475524,
0.201005025126,1.0,0.316582914573,0.989528795812,0.313232830821,0.989417989418,0.319932998325,0.984536082474,0.323283082077,0.965,0.36013400335,0.977272727273,0.381909547739,0.974358974359,
