'threshold','recall','precision'
0.05,1.0,0.482229402262
0.1,0.996649916248,0.5463728191
0.15,0.988274706868,0.60327198364
0.2,0.984924623116,0.662908680947
0.25,0.978224455611,0.709599027947
0.3,0.966499162479,0.7425997426
0.35,0.953098827471,0.772048846676
0.4,0.948073701843,0.803977272727
0.45,0.934673366834,0.842900302115
0.5,0.897822445561,0.872964169381
0.55,0.886097152429,0.895093062606
0.6,0.852596314908,0.913824057451
0.65,0.817420435511,0.934865900383
0.7,0.773869346734,0.946721311475
0.75,0.706867671692,0.956916099773
0.8,0.629815745394,0.959183673469
0.85,0.561139028476,0.962643678161
0.9,0.457286432161,0.975
0.95,0.324958123953,0.989795918367
