res_20_estimators_recall,res_20_estimators_precision,res_60_estimators_recall,res_60_estimators_precision,res_100_estimators_recall,res_100_estimators_precision,res_140_estimators_recall,res_140_estimators_precision,res_180_estimators_recall,res_180_estimators_precision,
0.994974874372,0.529884032114,0.998324958124,0.503378378378,0.998324958124,0.4921552436,0.998324958124,0.485737571312,0.998324958124,0.490534979424,
0.988274706868,0.58648111332,0.994974874372,0.567877629063,0.994974874372,0.553072625698,0.998324958124,0.54478976234,0.998324958124,0.541818181818,
0.986599664992,0.638136511376,0.989949748744,0.61820083682,0.988274706868,0.612033195021,0.988274706868,0.60327198364,0.988274706868,0.607621009269,
0.978224455611,0.672036823936,0.981574539363,0.670480549199,0.981574539363,0.663646659117,0.981574539363,0.662146892655,0.98324958124,0.664779161948,
0.969849246231,0.719254658385,0.971524288107,0.70303030303,0.974874371859,0.711491442543,0.978224455611,0.705314009662,0.978224455611,0.708737864078,
0.958123953099,0.75962815405,0.963149078727,0.741935483871,0.964824120603,0.75,0.966499162479,0.743556701031,0.966499162479,0.745478036176,
0.94472361809,0.797736916549,0.94472361809,0.77366255144,0.954773869347,0.780821917808,0.959798994975,0.776422764228,0.958123953099,0.780354706685,
0.921273031826,0.824587706147,0.934673366834,0.804034582133,0.946398659966,0.816473988439,0.943048576214,0.813583815029,0.941373534338,0.804005722461,
0.892797319933,0.8528,0.914572864322,0.847826086957,0.921273031826,0.852713178295,0.921273031826,0.839694656489,0.922948073702,0.84250764526,
0.874371859296,0.868552412646,0.899497487437,0.873170731707,0.889447236181,0.879139072848,0.901172529313,0.870550161812,0.902847571189,0.870759289176,
0.850921273032,0.891228070175,0.87269681742,0.895189003436,0.867671691792,0.89156626506,0.869346733668,0.887179487179,0.876046901173,0.898625429553,
0.817420435511,0.910447761194,0.839195979899,0.919266055046,0.837520938023,0.910746812386,0.84757118928,0.908438061041,0.844221105528,0.908108108108,
0.782244556114,0.930278884462,0.802345058626,0.930097087379,0.817420435511,0.927756653992,0.802345058626,0.933723196881,0.817420435511,0.931297709924,
0.730318257956,0.947826086957,0.753768844221,0.947368421053,0.778894472362,0.943204868154,0.768844221106,0.948347107438,0.777219430486,0.943089430894,
0.653266331658,0.948905109489,0.708542713568,0.957013574661,0.70351758794,0.948081264108,0.71189279732,0.950782997763,0.705192629816,0.954648526077,
0.587939698492,0.964285714286,0.633165829146,0.961832061069,0.613065326633,0.955613577023,0.644891122278,0.960099750623,0.638190954774,0.959697732997,
0.510887772194,0.977564102564,0.544388609715,0.964391691395,0.541038525963,0.958456973294,0.561139028476,0.962643678161,0.557788944724,0.968023255814,
0.420435510888,0.976653696498,0.443886097152,0.977859778598,0.453936348409,0.971326164875,0.453936348409,0.971326164875,0.463986599665,0.978798586572,
0.276381909548,0.988023952096,0.306532663317,0.989189189189,0.309882747069,0.984042553191,0.319932998325,0.984536082474,0.308207705193,0.989247311828,
